"cast_date","cast_month","cast_year","moon","currency","model","data_set","species","estimate","lower_pi","upper_pi","start_moon","end_moon","cast_id","cast_group","confidence_level"
"2021-02-25",2,2020,528,"abundance","pevGARCH","all_interp","BA",0.475632718660178,0,2,217,540,1625,64,0.95
"2021-02-25",3,2020,529,"abundance","pevGARCH","all_interp","BA",0.812734719316459,0,3,217,540,1625,64,0.95
"2021-02-25",4,2020,530,"abundance","pevGARCH","all_interp","BA",0.848042865759696,0,3,217,540,1625,64,0.95
"2021-02-25",5,2020,531,"abundance","pevGARCH","all_interp","BA",0.755113489883997,0,3,217,540,1625,64,0.95
"2021-02-25",6,2020,532,"abundance","pevGARCH","all_interp","BA",1.3430566724844,0,5,217,540,1625,64,0.95
"2021-02-25",7,2020,533,"abundance","pevGARCH","all_interp","BA",1.40761999612088,0,5,217,540,1625,64,0.95
"2021-02-25",8,2020,534,"abundance","pevGARCH","all_interp","BA",1.2307005943148,0,4,217,540,1625,64,0.95
"2021-02-25",9,2020,535,"abundance","pevGARCH","all_interp","BA",1.41059072710253,0,5,217,540,1625,64,0.95
"2021-02-25",10,2020,536,"abundance","pevGARCH","all_interp","BA",1.06971509960965,0,4,217,540,1625,64,0.95
"2021-02-25",11,2020,537,"abundance","pevGARCH","all_interp","BA",0.629307308278942,0,3,217,540,1625,64,0.95
"2021-02-25",12,2020,538,"abundance","pevGARCH","all_interp","BA",0.448802002679167,0,2,217,540,1625,64,0.95
"2021-02-25",1,2021,539,"abundance","pevGARCH","all_interp","BA",0.403170922625838,0,2,217,540,1625,64,0.95
"2021-02-25",2,2021,540,"abundance","pevGARCH","all_interp","BA",0.553513771810452,0,2,217,540,1625,64,0.95
"2021-02-25",3,2021,541,"abundance","pevGARCH","all_interp","BA",0.517019753306525,0,2,217,540,1625,64,0.95
"2021-02-25",4,2021,542,"abundance","pevGARCH","all_interp","BA",0.500142904484918,0,3,217,540,1625,64,0.95
"2021-02-25",5,2021,543,"abundance","pevGARCH","all_interp","BA",0.855014394008915,0,3,217,540,1625,64,0.95
"2021-02-25",6,2021,544,"abundance","pevGARCH","all_interp","BA",2.41627509848121,0,8,217,540,1625,64,0.95
"2021-02-25",7,2021,545,"abundance","pevGARCH","all_interp","BA",1.37707105383902,0,5,217,540,1625,64,0.95
"2021-02-25",8,2021,546,"abundance","pevGARCH","all_interp","BA",2.35965343568891,0,8,217,540,1625,64,0.95
"2021-02-25",9,2021,547,"abundance","pevGARCH","all_interp","BA",70.5870205087281,17,183,217,540,1625,64,0.95
"2021-02-25",10,2021,548,"abundance","pevGARCH","all_interp","BA",137730.940726128,34692,351215,217,540,1625,64,0.95
"2021-02-25",11,2021,549,"abundance","pevGARCH","all_interp","BA",297747064.57324,75295792,752642611,217,540,1625,64,0.95
"2021-02-25",12,2021,550,"abundance","pevGARCH","all_interp","BA",428416128525.585,109522185716,1074620146621,217,540,1625,64,0.95
"2021-02-25",1,2022,551,"abundance","pevGARCH","all_interp","BA",875076430539284,225117389393009,2179549873341724,217,540,1625,64,0.95
"2021-02-25",2,2022,552,"abundance","pevGARCH","all_interp","BA",2123335698075134720,549431330812060288,5252432294118020096,217,540,1625,64,0.95
"2021-02-25",2,2020,528,"abundance","pevGARCH","all_interp","DM",40.6557415691545,28,53,217,540,1625,64,0.95
"2021-02-25",3,2020,529,"abundance","pevGARCH","all_interp","DM",43.0817533925184,27,59,217,540,1625,64,0.95
"2021-02-25",4,2020,530,"abundance","pevGARCH","all_interp","DM",41.4492846337415,25,61,217,540,1625,64,0.95
"2021-02-25",5,2020,531,"abundance","pevGARCH","all_interp","DM",38.8142942940454,22,59,217,540,1625,64,0.95
"2021-02-25",6,2020,532,"abundance","pevGARCH","all_interp","DM",35.7256829674768,19,55,217,540,1625,64,0.95
"2021-02-25",7,2020,533,"abundance","pevGARCH","all_interp","DM",31.6682320085826,16,48,217,540,1625,64,0.95
"2021-02-25",8,2020,534,"abundance","pevGARCH","all_interp","DM",29.4552126997591,13,46,217,540,1625,64,0.95
"2021-02-25",9,2020,535,"abundance","pevGARCH","all_interp","DM",29.2740734600489,13,46,217,540,1625,64,0.95
"2021-02-25",10,2020,536,"abundance","pevGARCH","all_interp","DM",29.570778601739,13,46,217,540,1625,64,0.95
"2021-02-25",11,2020,537,"abundance","pevGARCH","all_interp","DM",32.7800660944173,16,51,217,540,1625,64,0.95
"2021-02-25",12,2020,538,"abundance","pevGARCH","all_interp","DM",36.8155900421067,17,58,217,540,1625,64,0.95
"2021-02-25",1,2021,539,"abundance","pevGARCH","all_interp","DM",41.8797914482177,19,63,217,540,1625,64,0.95
"2021-02-25",2,2021,540,"abundance","pevGARCH","all_interp","DM",46.2475250495423,21,71,217,540,1625,64,0.95
"2021-02-25",3,2021,541,"abundance","pevGARCH","all_interp","DM",48.3705468848322,24,72,217,540,1625,64,0.95
"2021-02-25",4,2021,542,"abundance","pevGARCH","all_interp","DM",48.94275663951,25,72,217,540,1625,64,0.95
"2021-02-25",5,2021,543,"abundance","pevGARCH","all_interp","DM",46.6330754835265,24,70,217,540,1625,64,0.95
"2021-02-25",6,2021,544,"abundance","pevGARCH","all_interp","DM",43.3918561366746,22,65,217,540,1625,64,0.95
"2021-02-25",7,2021,545,"abundance","pevGARCH","all_interp","DM",38.0814912438892,18,60,217,540,1625,64,0.95
"2021-02-25",8,2021,546,"abundance","pevGARCH","all_interp","DM",36.1543750046549,18,56,217,540,1625,64,0.95
"2021-02-25",9,2021,547,"abundance","pevGARCH","all_interp","DM",24.422674759102,11,40,217,540,1625,64,0.95
"2021-02-25",10,2021,548,"abundance","pevGARCH","all_interp","DM",12.1458831676184,4,22,217,540,1625,64,0.95
"2021-02-25",11,2021,549,"abundance","pevGARCH","all_interp","DM",7.10563539816376,2,15,217,540,1625,64,0.95
"2021-02-25",12,2021,550,"abundance","pevGARCH","all_interp","DM",5.15687902373309,0,11,217,540,1625,64,0.95
"2021-02-25",1,2022,551,"abundance","pevGARCH","all_interp","DM",4.14318220718268,0,9,217,540,1625,64,0.95
"2021-02-25",2,2022,552,"abundance","pevGARCH","all_interp","DM",3.69686126263054,0,9,217,540,1625,64,0.95
"2021-02-25",2,2020,528,"abundance","pevGARCH","all_interp","DO",7.00966184372126,3,13,217,540,1625,64,0.95
"2021-02-25",3,2020,529,"abundance","pevGARCH","all_interp","DO",8.43287971076766,2,17,217,540,1625,64,0.95
