time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],pr[unit="in"]
2021-02-28T00:00:00Z,31.9555,-109.0744,0.0
2021-03-01T00:00:00Z,31.9555,-109.0744,0.0
2021-03-02T00:00:00Z,31.9555,-109.0744,0.0
2021-03-03T00:00:00Z,31.9555,-109.0744,0.0
2021-03-04T00:00:00Z,31.9555,-109.0744,0.0
2021-03-05T00:00:00Z,31.9555,-109.0744,0.0
2021-03-06T00:00:00Z,31.9555,-109.0744,0.0
2021-03-07T00:00:00Z,31.9555,-109.0744,0.0
2021-03-08T00:00:00Z,31.9555,-109.0744,0.0
2021-03-09T00:00:00Z,31.9555,-109.0744,0.0
2021-03-10T00:00:00Z,31.9555,-109.0744,0.0
2021-03-11T00:00:00Z,31.9555,-109.0744,0.0
2021-03-12T00:00:00Z,31.9555,-109.0744,0.0
2021-03-13T00:00:00Z,31.9555,-109.0744,0.0
2021-03-14T00:00:00Z,31.9555,-109.0744,0.0
2021-03-15T00:00:00Z,31.9555,-109.0744,0.0
2021-03-16T00:00:00Z,31.9555,-109.0744,0.0
2021-03-17T00:00:00Z,31.9555,-109.0744,0.0
2021-03-18T00:00:00Z,31.9555,-109.0744,0.0
2021-03-19T00:00:00Z,31.9555,-109.0744,0.0
2021-03-20T00:00:00Z,31.9555,-109.0744,0.0
2021-03-21T00:00:00Z,31.9555,-109.0744,0.0
2021-03-22T00:00:00Z,31.9555,-109.0744,0.0
2021-03-23T00:00:00Z,31.9555,-109.0744,0.0
2021-03-24T00:00:00Z,31.9555,-109.0744,0.0
2021-03-25T00:00:00Z,31.9555,-109.0744,0.0
2021-03-26T00:00:00Z,31.9555,-109.0744,0.0
2021-03-27T00:00:00Z,31.9555,-109.0744,0.0
2021-03-28T00:00:00Z,31.9555,-109.0744,0.0
2021-03-29T00:00:00Z,31.9555,-109.0744,0.0
2021-03-30T00:00:00Z,31.9555,-109.0744,0.0
2021-03-31T00:00:00Z,31.9555,-109.0744,0.0
2021-04-01T00:00:00Z,31.9555,-109.0744,0.0
2021-04-02T00:00:00Z,31.9555,-109.0744,0.0
2021-04-03T00:00:00Z,31.9555,-109.0744,0.0
2021-04-04T00:00:00Z,31.9555,-109.0744,0.0
2021-04-05T00:00:00Z,31.9555,-109.0744,0.0
2021-04-06T00:00:00Z,31.9555,-109.0744,0.0
2021-04-07T00:00:00Z,31.9555,-109.0744,0.0
2021-04-08T00:00:00Z,31.9555,-109.0744,0.0
2021-04-09T00:00:00Z,31.9555,-109.0744,0.0
2021-04-10T00:00:00Z,31.9555,-109.0744,0.0
2021-04-11T00:00:00Z,31.9555,-109.0744,0.0
2021-04-12T00:00:00Z,31.9555,-109.0744,0.0
2021-04-13T00:00:00Z,31.9555,-109.0744,0.0
2021-04-14T00:00:00Z,31.9555,-109.0744,0.0
2021-04-15T00:00:00Z,31.9555,-109.0744,0.0
2021-04-16T00:00:00Z,31.9555,-109.0744,0.0
2021-04-17T00:00:00Z,31.9555,-109.0744,0.0
2021-04-18T00:00:00Z,31.9555,-109.0744,0.0
2021-04-19T00:00:00Z,31.9555,-109.0744,0.0
2021-04-20T00:00:00Z,31.9555,-109.0744,0.0
2021-04-21T00:00:00Z,31.9555,-109.0744,0.0
2021-04-22T00:00:00Z,31.9555,-109.0744,0.0
2021-04-23T00:00:00Z,31.9555,-109.0744,0.0
2021-04-24T00:00:00Z,31.9555,-109.0744,0.0
2021-04-25T00:00:00Z,31.9555,-109.0744,0.0
2021-04-26T00:00:00Z,31.9555,-109.0744,0.0
2021-04-27T00:00:00Z,31.9555,-109.0744,0.0
2021-04-28T00:00:00Z,31.9555,-109.0744,0.0
2021-04-29T00:00:00Z,31.9555,-109.0744,0.0
2021-04-30T00:00:00Z,31.9555,-109.0744,0.0
2021-05-01T00:00:00Z,31.9555,-109.0744,0.0
2021-05-02T00:00:00Z,31.9555,-109.0744,0.0
2021-05-03T00:00:00Z,31.9555,-109.0744,0.0
2021-05-04T00:00:00Z,31.9555,-109.0744,0.0
2021-05-05T00:00:00Z,31.9555,-109.0744,0.0
2021-05-06T00:00:00Z,31.9555,-109.0744,0.0
2021-05-07T00:00:00Z,31.9555,-109.0744,0.0
2021-05-08T00:00:00Z,31.9555,-109.0744,0.007466501090675592
2021-05-09T00:00:00Z,31.9555,-109.0744,0.001576769514940679
2021-05-10T00:00:00Z,31.9555,-109.0744,0.019756099209189415
2021-05-11T00:00:00Z,31.9555,-109.0744,0.00987804401665926
2021-05-12T00:00:00Z,31.9555,-109.0744,0.0
2021-05-13T00:00:00Z,31.9555,-109.0744,0.0
2021-05-14T00:00:00Z,31.9555,-109.0744,0.0033158636651933193
2021-05-15T00:00:00Z,31.9555,-109.0744,0.011640326119959354
2021-05-16T00:00:00Z,31.9555,-109.0744,0.0
2021-05-17T00:00:00Z,31.9555,-109.0744,0.0
2021-05-18T00:00:00Z,31.9555,-109.0744,0.06001032516360283
2021-05-19T00:00:00Z,31.9555,-109.0744,0.0016695213271304965
2021-05-20T00:00:00Z,31.9555,-109.0744,0.0
2021-05-21T00:00:00Z,31.9555,-109.0744,0.0
2021-05-22T00:00:00Z,31.9555,-109.0744,0.0
2021-05-23T00:00:00Z,31.9555,-109.0744,0.0
2021-05-24T00:00:00Z,31.9555,-109.0744,0.0
2021-05-25T00:00:00Z,31.9555,-109.0744,0.0
2021-05-26T00:00:00Z,31.9555,-109.0744,0.0
2021-05-27T00:00:00Z,31.9555,-109.0744,0.0
2021-05-28T00:00:00Z,31.9555,-109.0744,0.0
2021-05-29T00:00:00Z,31.9555,-109.0744,0.0
2021-05-30T00:00:00Z,31.9555,-109.0744,0.0
2021-05-31T00:00:00Z,31.9555,-109.0744,0.0
2021-06-01T00:00:00Z,31.9555,-109.0744,0.0
2021-06-02T00:00:00Z,31.9555,-109.0744,0.0
2021-06-03T00:00:00Z,31.9555,-109.0744,0.0
2021-06-04T00:00:00Z,31.9555,-109.0744,0.0
2021-06-05T00:00:00Z,31.9555,-109.0744,0.0
2021-06-06T00:00:00Z,31.9555,-109.0744,0.0
2021-06-07T00:00:00Z,31.9555,-109.0744,0.0
2021-06-08T00:00:00Z,31.9555,-109.0744,0.0
2021-06-09T00:00:00Z,31.9555,-109.0744,0.0
2021-06-10T00:00:00Z,31.9555,-109.0744,0.0
2021-06-11T00:00:00Z,31.9555,-109.0744,0.02001466602087021
2021-06-12T00:00:00Z,31.9555,-109.0744,0.04358328878879547
2021-06-13T00:00:00Z,31.9555,-109.0744,0.009820300154387951
2021-06-14T00:00:00Z,31.9555,-109.0744,0.0
2021-06-15T00:00:00Z,31.9555,-109.0744,0.0
2021-06-16T00:00:00Z,31.9555,-109.0744,0.0
2021-06-17T00:00:00Z,31.9555,-109.0744,0.0
2021-06-18T00:00:00Z,31.9555,-109.0744,0.0
2021-06-19T00:00:00Z,31.9555,-109.0744,0.003928144928067923
2021-06-20T00:00:00Z,31.9555,-109.0744,0.0169282965362072
2021-06-21T00:00:00Z,31.9555,-109.0744,0.004021671134978533
2021-06-22T00:00:00Z,31.9555,-109.0744,0.03451123461127281
2021-06-23T00:00:00Z,31.9555,-109.0744,0.040777500718832016
2021-06-24T00:00:00Z,31.9555,-109.0744,0.030957240611314774
2021-06-25T00:00:00Z,31.9555,-109.0744,0.006079249083995819
2021-06-26T00:00:00Z,31.9555,-109.0744,0.007762722205370665
2021-06-27T00:00:00Z,31.9555,-109.0744,0.0
2021-06-28T00:00:00Z,31.9555,-109.0744,0.04938191547989845
2021-06-29T00:00:00Z,31.9555,-109.0744,0.14393699169158936
2021-06-30T00:00:00Z,31.9555,-109.0744,0.0
2021-07-01T00:00:00Z,31.9555,-109.0744,0.0
2021-07-02T00:00:00Z,31.9555,-109.0744,0.0
2021-07-03T00:00:00Z,31.9555,-109.0744,0.0
